,Date,Title,Views,Likes,Comments,Month,Month_Number
99,2021-03-23 11:00:02+00:00,Best Machine Learning Courses on Coursera,32405,1133,80,March,3
100,2021-03-18 11:00:08+00:00,Will Data Analysts Be Automated? | Alex The Analyst | Episode 18,14672,445,110,March,3
101,2021-03-16 11:00:07+00:00,Advanced SQL Tutorial | Stored Procedures + Use Cases,138289,2947,86,March,3
102,2021-03-12 12:00:17+00:00,Google Data Analytics Professional Certificate | It's Finally Here!,325101,10484,1160,March,3
103,2021-03-04 12:15:01+00:00,Google Data Analytics Certificate | Coming Out Soon!,51330,2391,328,March,3
104,2021-03-02 12:00:08+00:00,Reviewing Your Data Analyst Resumes | Part 2,17857,476,74,March,3
105,2021-02-25 12:00:13+00:00,Best Course to Learn Statistics for Data Analysis,53639,1745,82,February,2
106,2021-02-23 12:00:19+00:00,DataQuest Review | Is it Worth it?,16912,330,42,February,2
107,2021-02-16 12:00:00+00:00,R vs Python | Which is Better for Data Analysis?,164187,3915,350,February,2
108,2021-02-04 12:00:04+00:00,Advanced SQL Tutorial | String Functions + Use Cases,49929,1367,72,February,2
109,2021-02-02 12:00:13+00:00,Advanced SQL Tutorial | Temp Tables,85838,2046,82,February,2
110,2021-01-30 15:33:41+00:00,IBM Data Analyst Certificate Study Session,4992,173,22,January,1
111,2021-01-26 12:00:22+00:00,IBM Data Analyst Professional Certificate by Coursera | Is it Worth it?,83384,2401,278,January,1
112,2021-01-21 12:00:03+00:00,DataCamp Review | Is it Worth it?,115879,2733,243,January,1
113,2021-01-19 12:00:09+00:00,Best Python Course for Data Analysts,37373,1147,106,January,1
114,2021-01-12 12:00:07+00:00,Top 5 Data Analyst Skills,18965,1032,165,January,1
115,2021-01-07 12:00:28+00:00,Best Industries for Data Analysts in 2021 | Alex The Analyst Show | Episode 17,12923,436,143,January,1
116,2021-01-05 12:00:10+00:00,Top 5 Data Analyst Interview Mistakes,25416,877,55,January,1
117,2020-12-31 12:00:01+00:00,2020 Year End Review + Upcoming Giveaway Details,1522,141,101,December,12
118,2020-12-24 12:00:19+00:00,Data Analyst Resume | Everything You Need to Know | Alex The Analyst Show | Episode 16,34245,1037,130,December,12
119,2020-12-22 12:00:04+00:00,Solving Medium Level SQL LeetCode Questions | Part 2/3,9085,210,29,December,12
120,2020-12-17 12:00:12+00:00,Entry vs Mid vs Senior Level Data Analyst | Alex The Analyst Show | Episode 15,37196,1302,193,December,12
121,2020-12-15 12:00:08+00:00,Data Engineer vs Data Analyst | Which Is Right For You?,52452,1901,121,December,12
